log_date,trip_name,dest,days_to_depart,status,offers_any,offers_nonstop,min_price_any,min_flights_any,min_price_nonstop,min_flights_nonstop,unpriced,note,log_ts_utc
2026-08-07,CNY-2027-after,AKJ,183,NO_RESULT,0,0,,,,,0,,2026-08-07 00:42:33
2026-08-07,CNY-2027-after,HKD,183,OK,7,0,9168,NH860>NH553,,,0,3 offers dropped by whitelist,2026-08-07 00:42:33
2026-08-08,XMAS-2026,TYO,134,OK,22,22,4579,UO628,4579,UO628,4,,2026-08-07 22:58:16
2026-08-08,XMAS-2026,SDJ,134,OK,1,1,5499,UO890,5499,UO890,0,,2026-08-07 22:58:16
2026-08-08,XMAS-2026,CTS,134,OK,8,5,8114,HB2886,8114,HB2886,4,1 offers dropped by whitelist,2026-08-07 22:58:16
2026-08-08,XMAS-2026,AKJ,134,NO_RESULT,0,0,,,,,0,,2026-08-07 22:58:16
2026-08-08,XMAS-2026,HKD,134,NO_RESULT,0,0,,,,,0,,2026-08-07 22:58:16
2026-08-08,CNY-2027-before,TYO,175,OK,22,22,3249,UO646,3249,UO646,4,,2026-08-07 22:58:16
2026-08-08,CNY-2027-before,SDJ,175,OK,1,1,4099,UO890,4099,UO890,0,,2026-08-07 22:58:16
2026-08-08,CNY-2027-before,CTS,175,OK,9,4,4481,NH860>NH55,5204,HB880,4,3 offers dropped by whitelist,2026-08-07 22:58:16
2026-08-08,CNY-2027-before,AKJ,175,NO_RESULT,0,0,,,,,0,,2026-08-07 22:58:16
2026-08-08,CNY-2027-before,HKD,175,OK,7,0,4487,NH860>NH553,,,0,2 offers dropped by whitelist,2026-08-07 22:58:16
2026-08-08,CNY-2027-after,TYO,182,OK,22,22,5349,UO624,5349,UO624,4,,2026-08-07 22:58:16
2026-08-08,CNY-2027-after,SDJ,182,OK,1,1,9089,UO890,9089,UO890,0,,2026-08-07 22:58:16
2026-08-08,CNY-2027-after,CTS,182,OK,9,4,9203,JL26>JL501,13084,HB880,4,2 offers dropped by whitelist,2026-08-07 22:58:16
2026-08-08,CNY-2027-after,AKJ,182,NO_RESULT,0,0,,,,,0,,2026-08-07 22:58:16
2026-08-08,CNY-2027-after,HKD,182,OK,7,0,9167,NH860>NH553,,,0,3 offers dropped by whitelist,2026-08-07 22:58:16
2026-08-09,XMAS-2026,TYO,133,ERROR,0,0,,,,,0,ParseShapeError: Google returned an error page,2026-08-08 22:51:03
2026-08-09,XMAS-2026,SDJ,133,OK,1,1,5249,UO890,5249,UO890,0,,2026-08-08 22:51:03
2026-08-09,XMAS-2026,CTS,133,OK,9,5,8114,HB2886,8114,HB2886,4,1 offers dropped by whitelist,2026-08-08 22:51:03
2026-08-09,XMAS-2026,AKJ,133,NO_RESULT,0,0,,,,,0,,2026-08-08 22:51:03
2026-08-09,XMAS-2026,HKD,133,NO_RESULT,0,0,,,,,0,,2026-08-08 22:51:03
2026-08-09,CNY-2027-before,TYO,174,OK,22,22,3249,UO848,3249,UO848,4,,2026-08-08 22:51:03
2026-08-09,CNY-2027-before,SDJ,174,OK,1,1,3319,UO890,3319,UO890,0,,2026-08-08 22:51:03
2026-08-09,CNY-2027-before,CTS,174,OK,9,4,5204,HB880,5204,HB880,4,1 offers dropped by whitelist,2026-08-08 22:51:03
2026-08-09,CNY-2027-before,AKJ,174,NO_RESULT,0,0,,,,,0,,2026-08-08 22:51:03
2026-08-09,CNY-2027-before,HKD,174,OK,7,0,5287,NH814>NH553,,,0,2 offers dropped by whitelist,2026-08-08 22:51:03
2026-08-09,CNY-2027-after,TYO,181,OK,22,22,5179,UO646,5179,UO646,4,,2026-08-08 22:51:03
